index,0,1
0,Nina approaching the Philippines at peak intensity on November 25,Nina approaching the Philippines at peak intensity on November 25
1,Meteorological history,Meteorological history
2,Formed,"November 19, 1987"
3,Dissipated,"November 30, 1987"
4,Very strong typhoon,Very strong typhoon
5,10-minute sustained (JMA),10-minute sustained (JMA)
6,Highest winds,165 km/h (105 mph)
7,Lowest pressure,930 hPa (mbar); 27.46 inHg
8,Category 5-equivalent super typhoon,Category 5-equivalent super typhoon
9,1-minute sustained (SSHWS/JTWC),1-minute sustained (SSHWS/JTWC)
10,Highest winds,270 km/h (165 mph)
11,Overall effects,Overall effects
12,Fatalities,"1,036 total"
13,Damage,≥$84.5 million (1987 USD)
14,Areas affected,"Chuuk Lagoon, Philippines, China, Hong Kong, Macau"
15,IBTrACS,IBTrACS
16,Part of the 1987 Pacific typhoon season,Part of the 1987 Pacific typhoon season
