index,0,1
0,"Hurricane Tanya near peak intensity in the Atlantic on October 31, 1995","Hurricane Tanya near peak intensity in the Atlantic on October 31, 1995"
1,Meteorological history,Meteorological history
2,Formed,"October 27, 1995"
3,Extratropical,"November 1, 1995"
4,Dissipated,"November 3, 1995"
5,Category 1 hurricane,Category 1 hurricane
6,1-minute sustained (SSHWS/NWS),1-minute sustained (SSHWS/NWS)
7,Highest winds,85 mph (140 km/h)
8,Lowest pressure,972 mbar (hPa); 28.70 inHg
9,Overall effects,Overall effects
10,Fatalities,1 direct
11,Damage,Minimal
12,Areas affected,Azores
13,IBTrACS,IBTrACS
14,Part of the 1995 Atlantic hurricane season,Part of the 1995 Atlantic hurricane season
