index,0,1
0,"Ike near peak intensity, northeast of the Leeward Islands on September 4","Ike near peak intensity, northeast of the Leeward Islands on September 4"
1,Meteorological history,Meteorological history
2,Formed,"September 1, 2008"
3,Extratropical,"September 14, 2008"
4,Dissipated,"September 15, 2008"
5,Category 4 major hurricane,Category 4 major hurricane
6,1-minute sustained (SSHWS/NWS),1-minute sustained (SSHWS/NWS)
7,Highest winds,145 mph (230 km/h)
8,Lowest pressure,935 mbar (hPa); 27.61 inHg
9,Overall effects,Overall effects
10,Fatalities,214
11,Damage,$38 billion (2008 USD) (Tenth-costliest tropical cyclone on record)
12,Areas affected,Lucayan Archipelago Hispaniola Cuba Cayman Islands Texas South Central United States Great Lakes region Canada
13,IBTrACS,IBTrACS
14,Part of the 2008 Atlantic hurricane season,Part of the 2008 Atlantic hurricane season
