,0,1
0,Orson at peak intensity on 22 April,Orson at peak intensity on 22 April
1,Meteorological history,Meteorological history
2,Formed,17 April 1989
3,Remnant low,23 April 1989
4,Dissipated,24 April 1989
5,Category 5 severe tropical cyclone,Category 5 severe tropical cyclone
6,10-minute sustained (BOM),10-minute sustained (BOM)
7,Highest winds,240 km/h (150 mph)
8,Lowest pressure,904 hPa (mbar); 26.70 inHg (Fourth lowest pressure in Australian basin)[1]
9,Category 5-equivalent tropical cyclone,Category 5-equivalent tropical cyclone
10,1-minute sustained (SSHWS/JTWC),1-minute sustained (SSHWS/JTWC)
11,Highest winds,260 km/h (160 mph)
12,Overall effects,Overall effects
13,Fatalities,5 direct
14,Damage,$16.8 million (1989 USD)
15,Areas affected,Western Australia
16,IBTrACS,IBTrACS
17,Part of the 1988–89 Australian region cyclone season,Part of the 1988–89 Australian region cyclone season
