index,0,1
0,Monica prior to peak intensity on 23 April,Monica prior to peak intensity on 23 April
1,Meteorological history,Meteorological history
2,Formed,16 April 2006
3,Remnant low,24 April 2006
4,Dissipated,28 April 2006
5,Category 5 severe tropical cyclone,Category 5 severe tropical cyclone
6,10-minute sustained (BOM),10-minute sustained (BOM)
7,Highest winds,250 km/h (155 mph)
8,Lowest pressure,916 hPa (mbar); 27.05 inHg
9,Category 5-equivalent tropical cyclone,Category 5-equivalent tropical cyclone
10,1-minute sustained (SSHWS/JTWC),1-minute sustained (SSHWS/JTWC)
11,Highest winds,285 km/h (180 mph)
12,Lowest pressure,879 hPa (mbar); 25.96 inHg
13,Overall effects,Overall effects
14,Fatalities,
15,Damage,>A$6.6 million
16,Areas affected,Papua New GuineaQueenslandNorthern Territory
17,IBTrACS,IBTrACS
18,Part of the 2005–06 Australian region cyclone season,Part of the 2005–06 Australian region cyclone season
