index,0,1
0,Gustav near peak intensity and approaching western Cuba on August 30,Gustav near peak intensity and approaching western Cuba on August 30
1,Meteorological history,Meteorological history
2,Formed,"August 25, 2008"
3,Extratropical,"September 4, 2008"
4,Dissipated,"September 7, 2008"
5,Category 4 major hurricane,Category 4 major hurricane
6,1-minute sustained (SSHWS/NWS),1-minute sustained (SSHWS/NWS)
7,Highest winds,155 mph (250 km/h)
8,Lowest pressure,941 mbar (hPa); 27.79 inHg
9,Overall effects,Overall effects
10,Fatalities,"153 (112 direct, 41 indirect)"
11,Damage,$8.31 billion (2008 USD)
12,Areas affected,"Lesser Antilles, Greater Antilles, United States Gulf Coast, Oklahoma, Arkansas, Tennessee, Missouri, Illinois, Michigan"
13,IBTrACS,IBTrACS
14,Part of the 2008 Atlantic hurricane season,Part of the 2008 Atlantic hurricane season
