,0,1
0,Elsa at peak intensity after passing through the Lesser Antilles on July 2,Elsa at peak intensity after passing through the Lesser Antilles on July 2
1,Meteorological history,Meteorological history
2,Formed,"June 30, 2021"
3,Extratropical,"July 9, 2021"
4,Dissipated,"July 10, 2021"
5,Category 1 hurricane,Category 1 hurricane
6,1-minute sustained (SSHWS/NWS),1-minute sustained (SSHWS/NWS)
7,Highest winds,85 mph (140 km/h)
8,Lowest pressure,991 mbar (hPa); 29.26 inHg
9,Overall effects,Overall effects
10,Fatalities,13
11,Damage,$1.2 billion (2021 USD)
12,Areas affected,"Lesser Antilles, Greater Antilles, Venezuela, Colombia, East Coast of the United States, Atlantic Canada"
13,IBTrACS,IBTrACS
14,Part of the 2021 Atlantic hurricane season,Part of the 2021 Atlantic hurricane season
