index,0,1
0,"Typhoon Nesat approaching Taiwan at peak intensity on July 29, with Tropical Storm Haitang to its southwest","Typhoon Nesat approaching Taiwan at peak intensity on July 29, with Tropical Storm Haitang to its southwest"
1,Meteorological history,Meteorological history
2,Formed,"July 25, 2017"
3,Dissipated,"July 30, 2017"
4,Typhoon,Typhoon
5,10-minute sustained (JMA),10-minute sustained (JMA)
6,Highest winds,150 km/h (90 mph)
7,Lowest pressure,960 hPa (mbar); 28.35 inHg
8,Category 2-equivalent typhoon,Category 2-equivalent typhoon
9,1-minute sustained (SSHWS/JTWC),1-minute sustained (SSHWS/JTWC)
10,Highest winds,155 km/h (100 mph)
11,Lowest pressure,959 hPa (mbar); 28.32 inHg
12,Overall effects,Overall effects
13,Fatalities,3 total
14,Damage,$282 million (2017 USD)
15,Areas affected,"Philippines, Ryukyu Islands, Taiwan, East China, Thailand"
16,IBTrACS,IBTrACS
17,Part of the 2017 Pacific typhoon season,Part of the 2017 Pacific typhoon season
