index,0,1
0,Typhoon Kujira near peak intensity on May 4,Typhoon Kujira near peak intensity on May 4
1,Meteorological history,Meteorological history
2,Formed,"May 1, 2009"
3,Extratropical,"May 7, 2009"
4,Dissipated,"May 13, 2009"
5,Very strong typhoon,Very strong typhoon
6,10-minute sustained (JMA),10-minute sustained (JMA)
7,Highest winds,155 km/h (100 mph)
8,Lowest pressure,940 hPa (mbar); 27.76 inHg
9,Category 4-equivalent typhoon,Category 4-equivalent typhoon
10,1-minute sustained (SSHWS/JTWC),1-minute sustained (SSHWS/JTWC)
11,Highest winds,215 km/h (130 mph)
12,Lowest pressure,937 hPa (mbar); 27.67 inHg
13,Overall effects,Overall effects
14,Fatalities,28 direct
15,Missing,1
16,Damage,≥$27 million (2009 USD)
17,Areas affected,"Philippines, Russian Far East"
18,IBTrACS,IBTrACS
19,Part of the 2009 Pacific typhoon season,Part of the 2009 Pacific typhoon season
