,0,1
0,"Tropical Storm Charley shortly after being named on August 21, 1998","Tropical Storm Charley shortly after being named on August 21, 1998"
1,Meteorological history,Meteorological history
2,Formed,"August 21, 1998"
3,Dissipated,"August 24, 1998"
4,Tropical storm,Tropical storm
5,1-minute sustained (SSHWS/NWS),1-minute sustained (SSHWS/NWS)
6,Highest winds,70 mph (110 km/h)
7,Lowest pressure,1000 mbar (hPa); 29.53 inHg
8,Overall effects,Overall effects
9,Fatalities,"20 direct, 6 missing"
10,Damage,$50 million (1998 USD)
11,Areas affected,"Texas, Mexico"
12,IBTrACS,IBTrACS
13,Part of the 1998 Atlantic hurricane season,Part of the 1998 Atlantic hurricane season
