,0,1
0,"Tropical Storm Sinlaku at peak intensity, approaching Vietnam on August 2","Tropical Storm Sinlaku at peak intensity, approaching Vietnam on August 2"
1,Meteorological history,Meteorological history
2,Formed,"July 31, 2020"
3,Dissipated,"August 3, 2020"
4,Tropical storm,Tropical storm
5,10-minute sustained (JMA),10-minute sustained (JMA)
6,Highest winds,75 km/h (45 mph)
7,Lowest pressure,985 hPa (mbar); 29.09 inHg
8,Tropical storm,Tropical storm
9,1-minute sustained (SSHWS/JTWC),1-minute sustained (SSHWS/JTWC)
10,Highest winds,85 km/h (50 mph)
11,Lowest pressure,989 hPa (mbar); 29.21 inHg
12,Overall effects,Overall effects
13,Fatalities,4 total
14,Damage,$12.9 million (2020 USD)
15,Areas affected,"Philippines, Vietnam, Thailand, Laos"
16,IBTrACS,IBTrACS
17,Part of the 2020 Pacific typhoon season,Part of the 2020 Pacific typhoon season
