index,0,1
0,Cyclone Laurence at peak intensity on 21 December,Cyclone Laurence at peak intensity on 21 December
1,Meteorological history,Meteorological history
2,Formed,8 December 2009
3,Dissipated,23 December 2009
4,Category 5 severe tropical cyclone,Category 5 severe tropical cyclone
5,10-minute sustained (BOM),10-minute sustained (BOM)
6,Highest winds,205 km/h (125 mph)
7,Lowest pressure,925 hPa (mbar); 27.32 inHg
8,Category 4-equivalent tropical cyclone,Category 4-equivalent tropical cyclone
9,1-minute sustained (SSHWS/JTWC),1-minute sustained (SSHWS/JTWC)
10,Highest winds,240 km/h (150 mph)
11,Overall effects,Overall effects
12,Fatalities,
13,Damage,$9 million (2009 USD)
14,Areas affected,"Northern Territory, South Australia and Western Australia"
15,IBTrACS,IBTrACS
16,Part of the 2009–10 Australian region cyclone season,Part of the 2009–10 Australian region cyclone season
