index,0,1
0,Ophelia near North Carolina on September 14,Ophelia near North Carolina on September 14
1,Meteorological history,Meteorological history
2,Formed,"September 6, 2005"
3,Extratropical,"September 18, 2005"
4,Dissipated,"September 23, 2005"
5,Category 1 hurricane,Category 1 hurricane
6,1-minute sustained (SSHWS/NWS),1-minute sustained (SSHWS/NWS)
7,Highest winds,85 mph (140 km/h)
8,Lowest pressure,976 mbar (hPa); 28.82 inHg
9,Overall effects,Overall effects
10,Fatalities,3
11,Missing,1
12,Damage,$70 million (2005 USD)
13,Areas affected,"Bahamas, East Coast of the United States, Atlantic Canada"
14,IBTrACS,IBTrACS
15,Part of the 2005 Atlantic hurricane season,Part of the 2005 Atlantic hurricane season
