index,0,1
0,Nabi at peak intensity on September 2,Nabi at peak intensity on September 2
1,Meteorological history,Meteorological history
2,Formed,"August 29, 2005"
3,Extratropical,"September 8, 2005"
4,Dissipated,"September 12, 2005"
5,Very strong typhoon,Very strong typhoon
6,10-minute sustained (JMA),10-minute sustained (JMA)
7,Highest winds,175 km/h (110 mph)
8,Lowest pressure,925 hPa (mbar); 27.32 inHg
9,Category 5-equivalent super typhoon,Category 5-equivalent super typhoon
10,1-minute sustained (SSHWS/JTWC),1-minute sustained (SSHWS/JTWC)
11,Highest winds,260 km/h (160 mph)
12,Lowest pressure,898 hPa (mbar); 26.52 inHg
13,Overall effects,Overall effects
14,Fatalities,35 total
15,Damage,$972 million (2005 USD)
16,Areas affected,Northern Mariana IslandsGuamJapanSouth KoreaRussian Far EastAlaska
17,IBTrACS,IBTrACS
18,Part of the 2005 Pacific typhoon season,Part of the 2005 Pacific typhoon season
