,0,1
0,Severe Tropical Storm Usagi at peak intensity on November 24,Severe Tropical Storm Usagi at peak intensity on November 24
1,Meteorological history,Meteorological history
2,Formed,"November 13, 2018"
3,Dissipated,"November 27, 2018"
4,Severe tropical storm,Severe tropical storm
5,10-minute sustained (JMA),10-minute sustained (JMA)
6,Highest winds,110 km/h (70 mph)
7,Lowest pressure,990 hPa (mbar); 29.23 inHg
8,Category 2-equivalent typhoon,Category 2-equivalent typhoon
9,1-minute sustained (SSHWS/JTWC),1-minute sustained (SSHWS/JTWC)
10,Highest winds,165 km/h (105 mph)
11,Lowest pressure,971 hPa (mbar); 28.67 inHg
12,Overall effects,Overall effects
13,Fatalities,4
14,Damage,$40.8 million (2018 USD)
15,Areas affected,"Marshall Islands, Caroline Islands, Philippines, Vietnam"
16,IBTrACS,IBTrACS
17,Part of the 2018 Pacific typhoon season,Part of the 2018 Pacific typhoon season
