index,0,1
0,Cyclone Monty near its peak intensity,Cyclone Monty near its peak intensity
1,Meteorological history,Meteorological history
2,Formed,"February 23, 2004"
3,Dissipated,"March 3, 2004"
4,Category 4 severe tropical cyclone,Category 4 severe tropical cyclone
5,10-minute sustained (BOM),10-minute sustained (BOM)
6,Highest winds,185 km/h (115 mph)
7,Lowest pressure,935 hPa (mbar); 27.61 inHg
8,Category 3-equivalent tropical cyclone,Category 3-equivalent tropical cyclone
9,1-minute sustained (SSHWS/JTWC),1-minute sustained (SSHWS/JTWC)
10,Highest winds,205 km/h (125 mph)
11,Lowest pressure,933 hPa (mbar); 27.55 inHg
12,Overall effects,Overall effects
13,Fatalities,None reported
14,Damage,Minimal
15,Areas affected,Western Australia
16,IBTrACS,IBTrACS
17,Part of the 2003–04 Australian region cyclone season,Part of the 2003–04 Australian region cyclone season
