index,0,1
0,Satellite image of Cyclone Alby on 2 April 1978,Satellite image of Cyclone Alby on 2 April 1978
1,Meteorological history,Meteorological history
2,Formed,27 March 1978
3,Dissipated,5 April 1978
4,Category 5 severe tropical cyclone,Category 5 severe tropical cyclone
5,10-minute sustained (BOM),10-minute sustained (BOM)
6,Highest winds,205 km/h (125 mph)
7,Lowest pressure,930 hPa (mbar); 27.46 inHg
8,Category 4-equivalent tropical cyclone,Category 4-equivalent tropical cyclone
9,1-minute sustained (SSHWS/JTWC),1-minute sustained (SSHWS/JTWC)
10,Highest winds,215 km/h (130 mph)
11,Overall effects,Overall effects
12,Fatalities,"2 direct, 3 indirect"
13,Damage,$45 million (1978 USD)
14,Areas affected,Western Australia
15,IBTrACS,IBTrACS
16,Part of the 1977–78 Australian region cyclone season,Part of the 1977–78 Australian region cyclone season
