index,0,1
0,Soudelor at peak intensity on August 4,Soudelor at peak intensity on August 4
1,Meteorological history,Meteorological history
2,Formed,"July 29, 2015"
3,Dissipated,"August 12, 2015"
4,Violent typhoon,Violent typhoon
5,10-minute sustained (JMA),10-minute sustained (JMA)
6,Highest winds,215 km/h (130 mph)
7,Lowest pressure,900 hPa (mbar); 26.58 inHg
8,Category 5-equivalent super typhoon,Category 5-equivalent super typhoon
9,1-minute sustained (SSHWS/JTWC),1-minute sustained (SSHWS/JTWC)
10,Highest winds,285 km/h (180 mph)
11,Lowest pressure,907 hPa (mbar); 26.78 inHg
12,Overall effects,Overall effects
13,Fatalities,59 total
14,Damage,$4.09 billion (2015 USD)
15,Areas affected,Mariana IslandsPhilippinesTaiwanChinaSouth KoreaJapan
16,IBTrACS,IBTrACS
17,Part of the 2015 Pacific typhoon season,Part of the 2015 Pacific typhoon season
