index,0,1
0,13W impacting Luzon on July 21,13W impacting Luzon on July 21
1,Meteorological history,Meteorological history
2,Formed,"July 20, 2018"
3,Dissipated,"July 23, 2018"
4,Tropical depression,Tropical depression
5,10-minute sustained (JMA),10-minute sustained (JMA)
6,Highest winds,55 km/h (35 mph)
7,Lowest pressure,996 hPa (mbar); 29.41 inHg
8,Tropical storm,Tropical storm
9,1-minute sustained (SSHWS/JTWC),1-minute sustained (SSHWS/JTWC)
10,Highest winds,65 km/h (40 mph)
11,Lowest pressure,995 hPa (mbar); 29.38 inHg
12,Overall effects,Overall effects
13,Fatalities,16 total
14,Damage,$87.4 million (2018 USD)
15,Areas affected,"Philippines, Taiwan"
16,IBTrACS,IBTrACS
17,Part of the 2018 Pacific typhoon season,Part of the 2018 Pacific typhoon season
