,0,1
0,Cyclone Magda approaching Australia on 21 January,Cyclone Magda approaching Australia on 21 January
1,Meteorological history,Meteorological history
2,Formed,18 January 2010
3,Dissipated,24 January 2010
4,Category 3 severe tropical cyclone,Category 3 severe tropical cyclone
5,10-minute sustained (BOM),10-minute sustained (BOM)
6,Highest winds,130 km/h (80 mph)
7,Lowest pressure,975 hPa (mbar); 28.79 inHg
8,Category 1-equivalent tropical cyclone,Category 1-equivalent tropical cyclone
9,1-minute sustained (SSHWS/JTWC),1-minute sustained (SSHWS/JTWC)
10,Highest winds,120 km/h (75 mph)
11,Lowest pressure,974 hPa (mbar); 28.76 inHg
12,Overall effects,Overall effects
13,Fatalities,
14,Damage,
15,Areas affected,Western Australia
16,IBTrACS,IBTrACS
17,Part of the 2009–10 Australian region cyclone season,Part of the 2009–10 Australian region cyclone season
