index,0,1
0,Kompasu at peak intensity near Hainan on 13 October,Kompasu at peak intensity near Hainan on 13 October
1,Meteorological history,Meteorological history
2,Formed,"October 7, 2021"
3,Dissipated,"October 14, 2021"
4,Severe tropical storm,Severe tropical storm
5,10-minute sustained (JMA),10-minute sustained (JMA)
6,Highest winds,100 km/h (65 mph)
7,Lowest pressure,975 hPa (mbar); 28.79 inHg
8,Tropical storm,Tropical storm
9,1-minute sustained (SSHWS/JTWC),1-minute sustained (SSHWS/JTWC)
10,Highest winds,110 km/h (70 mph)
11,Lowest pressure,979 hPa (mbar); 28.91 inHg
12,Overall effects,Overall effects
13,Casualties,"46 dead, 21 missing"
14,Damage,$545 million (2021 USD)
15,Areas affected,"Philippines, Taiwan, South China (particularly Hainan Island), Vietnam, Thailand"
16,IBTrACS,IBTrACS
17,Part of the 2021 Pacific typhoon season,Part of the 2021 Pacific typhoon season
