index,0,1
0,Tropical Storm Etau at peak intensity on August 10,Tropical Storm Etau at peak intensity on August 10
1,Meteorological history,Meteorological history
2,Formed,"August 8, 2009"
3,Extratropical,"August 14, 2009"
4,Dissipated,"August 16, 2009"
5,Tropical storm,Tropical storm
6,10-minute sustained (JMA),10-minute sustained (JMA)
7,Highest winds,75 km/h (45 mph)
8,Lowest pressure,992 hPa (mbar); 29.29 inHg
9,Tropical storm,Tropical storm
10,1-minute sustained (SSHWS/JTWC),1-minute sustained (SSHWS/JTWC)
11,Highest winds,75 km/h (45 mph)
12,Lowest pressure,992 hPa (mbar); 29.29 inHg
13,Overall effects,Overall effects
14,Fatalities,28 total
15,Damage,$1.44 billion (2009 USD)
16,Areas affected,Japan (particularly Hyōgo Prefecture)
17,IBTrACS,IBTrACS
18,Part of the 2009 Pacific typhoon season,Part of the 2009 Pacific typhoon season
