,0,1
0,Morakot approaching Taiwan on August 7,Morakot approaching Taiwan on August 7
1,Meteorological history,Meteorological history
2,Formed,"August 2, 2009"
3,Dissipated,"August 11, 2009"
4,Typhoon,Typhoon
5,10-minute sustained (JMA),10-minute sustained (JMA)
6,Highest winds,130 km/h (80 mph)
7,Lowest pressure,945 hPa (mbar); 27.91 inHg
8,Category 1-equivalent typhoon,Category 1-equivalent typhoon
9,1-minute sustained (SSHWS/JTWC),1-minute sustained (SSHWS/JTWC)
10,Highest winds,150 km/h (90 mph)
11,Lowest pressure,954 hPa (mbar); 28.17 inHg
12,Overall effects,Overall effects
13,Fatalities,789
14,Damage,$6.2 billion (2009 USD)
15,Areas affected,"Philippines, Japan, Taiwan, China, Korea"
16,IBTrACS,IBTrACS
17,Part of the 2009 Pacific typhoon season,Part of the 2009 Pacific typhoon season
