index,0,1
0,Henri near peak intensity approaching New England early on August 22.,Henri near peak intensity approaching New England early on August 22.
1,Meteorological history,Meteorological history
2,Formed,"August 15, 2021"
3,Post-tropical,"August 23, 2021"
4,Dissipated,"August 24, 2021"
5,Category 1 hurricane,Category 1 hurricane
6,1-minute sustained (SSHWS/NWS),1-minute sustained (SSHWS/NWS)
7,Highest winds,75 mph (120 km/h)
8,Lowest pressure,986 mbar (hPa); 29.12 inHg
9,Overall effects,Overall effects
10,Fatalities,2 direct
11,Damage,$700 million (2021 USD)
12,Areas affected,"Bermuda, Northeastern United States, southern Nova Scotia"
13,IBTrACS,IBTrACS
14,Part of the 2021 Atlantic hurricane season,Part of the 2021 Atlantic hurricane season
