index,0,1
0,Typhoon Sepat at peak intensity on August 16,Typhoon Sepat at peak intensity on August 16
1,Meteorological history,Meteorological history
2,Formed,"August 12, 2007"
3,Remnant low,"August 20, 2007"
4,Dissipated,"August 24, 2007"
5,Violent typhoon,Violent typhoon
6,10-minute sustained (JMA),10-minute sustained (JMA)
7,Highest winds,205 km/h (125 mph)
8,Lowest pressure,910 hPa (mbar); 26.87 inHg
9,Category 5-equivalent super typhoon,Category 5-equivalent super typhoon
10,1-minute sustained (SSHWS/JTWC),1-minute sustained (SSHWS/JTWC)
11,Highest winds,260 km/h (160 mph)
12,Lowest pressure,918 hPa (mbar); 27.11 inHg
13,Overall effects,Overall effects
14,Fatalities,>43 total
15,Damage,>$693 million (2007 USD)
16,Areas affected,"Philippines, Taiwan, China"
17,IBTrACS,IBTrACS
18,Part of the 2007 Pacific typhoon season,Part of the 2007 Pacific typhoon season
