index,0,1
0,Typhoon Fanapi approaching Taiwan on September 18,Typhoon Fanapi approaching Taiwan on September 18
1,Meteorological history,Meteorological history
2,Formed,"September 14, 2010"
3,Dissipated,"September 21, 2010"
4,Very strong typhoon,Very strong typhoon
5,10-minute sustained (JMA),10-minute sustained (JMA)
6,Highest winds,175 km/h (110 mph)
7,Lowest pressure,930 hPa (mbar); 27.46 inHg
8,Category 3-equivalent typhoon,Category 3-equivalent typhoon
9,1-minute sustained (SSHWS/JTWC),1-minute sustained (SSHWS/JTWC)
10,Highest winds,195 km/h (120 mph)
11,Lowest pressure,944 hPa (mbar); 27.88 inHg
12,Overall effects,Overall effects
13,Fatalities,105 total
14,Damage,$1 billion (2010 USD)
15,Areas affected,"Japan, Taiwan, China"
16,IBTrACS,IBTrACS
17,Part of the 2010 Pacific typhoon season,Part of the 2010 Pacific typhoon season
