index,0,1
0,"Typhoon Kyle at peak intensity, nearing landfall at Vietnam on November 23","Typhoon Kyle at peak intensity, nearing landfall at Vietnam on November 23"
1,Meteorological history,Meteorological history
2,Formed,"November 18, 1993"
3,Dissipated,"November 23, 1993"
4,Typhoon,Typhoon
5,10-minute sustained (JMA),10-minute sustained (JMA)
6,Highest winds,130 km/h (80 mph)
7,Lowest pressure,955 hPa (mbar); 28.20 inHg
8,Category 2-equivalent typhoon,Category 2-equivalent typhoon
9,1-minute sustained (SSHWS/JTWC),1-minute sustained (SSHWS/JTWC)
10,Highest winds,175 km/h (110 mph)
11,Lowest pressure,960 hPa (mbar); 28.35 inHg
12,Overall effects,Overall effects
13,Fatalities,110 confirmed
14,Missing,59
15,Damage,>$1.5 million (1993 USD)
16,Areas affected,Caroline Islands Palau Yap Philippines Vietnam Cambodia Thailand
17,Part of the 1993 Pacific typhoon season,Part of the 1993 Pacific typhoon season
