,0,1
0,Cyclone Hikaa on September 24 approaching Oman,Cyclone Hikaa on September 24 approaching Oman
1,Meteorological history,Meteorological history
2,Formed,"September 22, 2019"
3,Dissipated,"September 25, 2019"
4,Very severe cyclonic storm,Very severe cyclonic storm
5,3-minute sustained (IMD),3-minute sustained (IMD)
6,Highest winds,140 km/h (85 mph)
7,Lowest pressure,978 hPa (mbar); 28.88 inHg
8,Category 2-equivalent tropical cyclone,Category 2-equivalent tropical cyclone
9,1-minute sustained (SSHWS/JTWC),1-minute sustained (SSHWS/JTWC)
10,Highest winds,165 km/h (105 mph)
11,Lowest pressure,969 hPa (mbar); 28.61 inHg
12,Overall effects,Overall effects
13,Fatalities,5
14,Missing,6
15,Damage,>$1 million (2019 USD)
16,Areas affected,"India, Oman"
17,IBTrACS,IBTrACS
18,Part of the 2019 North Indian Ocean cyclone season,Part of the 2019 North Indian Ocean cyclone season
