index,0,1
0,Hurricane Laura near peak intensity while approaching Louisiana late on August 26,Hurricane Laura near peak intensity while approaching Louisiana late on August 26
1,Meteorological history,Meteorological history
2,Formed,"August 20, 2020"
3,Dissipated,"August 29, 2020"
4,Category 4 major hurricane,Category 4 major hurricane
5,1-minute sustained (SSHWS/NWS),1-minute sustained (SSHWS/NWS)
6,Highest winds,150 mph (240 km/h)
7,Lowest pressure,937 mbar (hPa); 27.67 inHg
8,Overall effects,Overall effects
9,Fatalities,81
10,Damage,≥$23.3 billion (2020 USD)
11,Areas affected,"Lesser Antilles, Greater Antilles, The Bahamas, Gulf Coast of the United States, Midwestern United States, Eastern United States"
12,IBTrACS,IBTrACS
13,Part of the 2020 Atlantic hurricane season,Part of the 2020 Atlantic hurricane season
14,History Meteorological history Effects Louisiana Other wikis Commons: Laura images,History Meteorological history Effects Louisiana Other wikis Commons: Laura images
