index,0,1
0,Cyclone Luban at peak intensity on October 10,Cyclone Luban at peak intensity on October 10
1,Meteorological history,Meteorological history
2,Formed,"October 6, 2018"
3,Dissipated,"October 15, 2018"
4,Very severe cyclonic storm,Very severe cyclonic storm
5,3-minute sustained (IMD),3-minute sustained (IMD)
6,Highest winds,140 km/h (85 mph)
7,Lowest pressure,978 hPa (mbar); 28.88 inHg
8,Category 2-equivalent tropical cyclone,Category 2-equivalent tropical cyclone
9,1-minute sustained (SSHWS/JTWC),1-minute sustained (SSHWS/JTWC)
10,Highest winds,155 km/h (100 mph)
11,Lowest pressure,959 hPa (mbar); 28.32 inHg
12,Overall effects,Overall effects
13,Fatalities,14 total
14,Damage,$1 billion (2018 USD)
15,Areas affected,"Oman, Somalia, Yemen"
16,IBTrACS,IBTrACS
17,Part of the 2018 North Indian Ocean cyclone season,Part of the 2018 North Indian Ocean cyclone season
