,0,1
0,"Pam nearing peak intensity over Vanuatu, on 13 March","Pam nearing peak intensity over Vanuatu, on 13 March"
1,Meteorological history,Meteorological history
2,Formed,6 March 2015
3,Extratropical,15 March 2015
4,Dissipated,20 March 2015
5,Category 5 severe tropical cyclone,Category 5 severe tropical cyclone
6,10-minute sustained (FMS),10-minute sustained (FMS)
7,Highest winds,250 km/h (155 mph)
8,Lowest pressure,"896 hPa (mbar); 26.46 inHg (Third-lowest in South Pacific basin, Fourth-lowest in Southern Hemisphere)"
9,Category 5-equivalent tropical cyclone,Category 5-equivalent tropical cyclone
10,1-minute sustained (SSHWS/JTWC),1-minute sustained (SSHWS/JTWC)
11,Highest winds,280 km/h (175 mph)
12,Lowest pressure,911 hPa (mbar); 26.90 inHg
13,Overall effects,Overall effects
14,Fatalities,15–16 total
15,Damage,$543 million (2015 USD)
16,Areas affected,"Fiji, Kiribati, Solomon Islands, Tuvalu, Vanuatu, New Caledonia, New Zealand"
17,IBTrACS,IBTrACS
18,Part of the 2014–15 South Pacific cyclone season,Part of the 2014–15 South Pacific cyclone season
