,0,1
0,The cyclone at peak intensity before landfall on the Sindh-Gujarat border on June 8.,The cyclone at peak intensity before landfall on the Sindh-Gujarat border on June 8.
1,Meteorological history,Meteorological history
2,Formed,"June 4, 1998"
3,Dissipated,"June 10, 1998"
4,Extremely severe cyclonic storm,Extremely severe cyclonic storm
5,3-minute sustained (IMD),3-minute sustained (IMD)
6,Highest winds,165 km/h (105 mph)
7,Lowest pressure,958 hPa (mbar); 28.29 inHg
8,Category 3-equivalent tropical cyclone,Category 3-equivalent tropical cyclone
9,1-minute sustained (SSHWS/JTWC),1-minute sustained (SSHWS/JTWC)
10,Highest winds,195 km/h (120 mph)
11,Overall effects,Overall effects
12,Fatalities,1173
13,Missing,1774
14,Damage,$3 billion
15,Areas affected,India and Pakistan
16,IBTrACS,IBTrACS
17,Part of the 1998 North Indian Ocean cyclone season,Part of the 1998 North Indian Ocean cyclone season
