index,0,1
0,Nalgae at peak intensity and making landfall in the Philippines late on September 30,Nalgae at peak intensity and making landfall in the Philippines late on September 30
1,Meteorological history,Meteorological history
2,Formed,"September 26, 2011"
3,Dissipated,"October 5, 2011"
4,Very strong typhoon,Very strong typhoon
5,10-minute sustained (JMA),10-minute sustained (JMA)
6,Highest winds,175 km/h (110 mph)
7,Lowest pressure,935 hPa (mbar); 27.61 inHg
8,Category 4-equivalent super typhoon,Category 4-equivalent super typhoon
9,1-minute sustained (SSHWS/JTWC),1-minute sustained (SSHWS/JTWC)
10,Highest winds,240 km/h (150 mph)
11,Lowest pressure,926 hPa (mbar); 27.34 inHg
12,Overall effects,Overall effects
13,Fatalities,18 total
14,Damage,$250 million (2011 USD)
15,Areas affected,PhilippinesChinaVietnamThailand
16,IBTrACS,IBTrACS
17,Part of the 2011 Pacific typhoon season,Part of the 2011 Pacific typhoon season
