index,0,1
0,Typhoon Man-yi approaching Japan on September 15,Typhoon Man-yi approaching Japan on September 15
1,Meteorological history,Meteorological history
2,Formed,"September 11, 2013"
3,Extratropical,"September 16, 2013"
4,Dissipated,"September 20, 2013"
5,Typhoon,Typhoon
6,10-minute sustained (JMA),10-minute sustained (JMA)
7,Highest winds,120 km/h (75 mph)
8,Lowest pressure,960 hPa (mbar); 28.35 inHg
9,Tropical storm,Tropical storm
10,1-minute sustained (SSHWS/JTWC),1-minute sustained (SSHWS/JTWC)
11,Highest winds,110 km/h (70 mph)
12,Lowest pressure,978 hPa (mbar); 28.88 inHg
13,Overall effects,Overall effects
14,Fatalities,6 total
15,Damage,$1.62 billion (2013 USD)
16,Areas affected,Japan
17,IBTrACS,IBTrACS
18,Part of the 2013 Pacific typhoon season,Part of the 2013 Pacific typhoon season
